Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
read bool_ss servo opening tag,DB1030.DBX2.6,Boolean,1,R/W,100,,,,,,,,,,read bool_ss servo opening tag@OE.ST0.DB1030.2.6,
read bool_ss servo closing tag,DB1030.DBX2.7,Boolean,1,R/W,100,,,,,,,,,,read bool_ss servo closing tag@OE.ST0.DB1030.2.7,
read bool_control slide at home tag,DB1030.DBX3.0,Boolean,1,R/W,100,,,,,,,,,,read bool_control slide at home tag@OE.ST0.DB1030.3.0,
read bool_control slide left good tag,DB1030.DBX3.1,Boolean,1,R/W,100,,,,,,,,,,read bool_control slide left good tag@OE.ST0.DB1030.3.1,
read bool_control slide left over stroke tag,DB1030.DBX3.2,Boolean,1,R/W,100,,,,,,,,,,read bool_control slide left over stroke tag@OE.ST0.DB1030.3.2,
read bool_control slide right good tag,DB1030.DBX3.3,Boolean,1,R/W,100,,,,,,,,,,read bool_control slide right good tag@OE.ST0.DB1030.3.3,
read bool_control slide right over stroke tag,DB1030.DBX3.4,Boolean,1,R/W,100,,,,,,,,,,read bool_control slide right over stroke tag@OE.ST0.DB1030.3.4,
read bool_wind deflector high speed pos tag,DB1030.DBX3.5,Boolean,1,R/W,100,,,,,,,,,,read bool_wind deflector high speed pos tag@OE.ST0.DB1030.3.5,
read bool_wind deflector low speed pos tag,DB1030.DBX3.6,Boolean,1,R/W,100,,,,,,,,,,read bool_wind deflector low speed pos tag@OE.ST0.DB1030.3.6,
read bool_AT VentPMACatHome tag,DB1030.DBX3.7,Boolean,1,R/W,100,,,,,,,,,,read bool_AT VentPMACatHome tag@OE.ST0.DB1030.3.7,
read bool_AT VentPMACisExtend tag,DB1030.DBX4.0,Boolean,1,R/W,100,,,,,,,,,,read bool_AT VentPMACisExtend tag@OE.ST0.DB1030.4.0,
read bool_SS Barcode Scanner Bypassed tag,DB1030.DBX4.1,Boolean,1,R/W,100,,,,,,,,,,read bool_SS Barcode Scanner Bypassed tag@OE.ST0.DB1030.4.1,
read bool_Check Frame Barcode tag,DB1030.DBX4.2,Boolean,1,R/W,100,,,,,,,,,,read bool_Check Frame Barcode tag@OE.ST0.DB1030.4.2,
read bool_Z LVDTs Extended tag,DB1030.DBX4.3,Boolean,1,R/W,100,,,,,,,,,,read bool_Z LVDTs Extended tag@OE.ST0.DB1030.4.3,
read bool_NVH Operator Pass tag,DB1030.DBX4.4,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Pass tag@OE.ST0.DB1030.4.4,
read bool_NVH Operator Fail tag,DB1030.DBX4.5,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Fail tag@OE.ST0.DB1030.4.5,
read bool_NVH Operator Express Glass Open tag,DB1030.DBX4.6,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Express Glass Open tag@OE.ST0.DB1030.4.6,
read bool_NVH Operator Express Glass Close tag,DB1030.DBX4.7,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Express Glass Close tag@OE.ST0.DB1030.4.7,
read bool_NVH Operator Express Rollo Open01 tag,DB1030.DBX5.0,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Express Rollo Open01 tag@OE.ST0.DB1030.5.0,
read bool_NVH Operator Express Rollo Close01 tag,DB1030.DBX5.1,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Express Rollo Close01 tag@OE.ST0.DB1030.5.1,
read bool_NVH Operator Express Rollo Open02 tag,DB1030.DBX5.2,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Express Rollo Open02 tag@OE.ST0.DB1030.5.2,
read bool_NVH Operator Express Rollo Close02 tag,DB1030.DBX5.3,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Express Rollo Close02 tag@OE.ST0.DB1030.5.3,
read bool_NVH Operator Vent Open Noise tag,DB1030.DBX5.4,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Vent Open Noise tag@OE.ST0.DB1030.5.4,
read bool_NVH Operator Vent Close Noise tag,DB1030.DBX5.5,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Vent Close Noise tag@OE.ST0.DB1030.5.5,
read bool_NVH Operator Sunshade Open Noise tag,DB1030.DBX5.6,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Sunshade Open Noise tag@OE.ST0.DB1030.5.6,
read bool_NVH Operator Sunshade Close Noise tag,DB1030.DBX5.7,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Sunshade Close Noise tag@OE.ST0.DB1030.5.7,
read bool_NVH Operator Glass Open Noise tag,DB1030.DBX6.0,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Glass Open Noise tag@OE.ST0.DB1030.6.0,
read bool_NVH Operator Glass Close Noise tag,DB1030.DBX6.1,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Glass Close Noise tag@OE.ST0.DB1030.6.1,
read bool_NVH Operator Finish tag,DB1030.DBX6.2,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Finish tag@OE.ST0.DB1030.6.2,
read bool_NVH Operator Check tag,DB1030.DBX6.3,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Check tag@OE.ST0.DB1030.6.3,
read bool_windproof position tag,DB1030.DBX6.4,Boolean,1,R/W,100,,,,,,,,,,read bool_windproof position tag@OE.ST0.DB1030.6.4,
read bool_NVH Operator Express Glass vent Open tag,DB1030.DBX6.5,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Express Glass vent Open tag@OE.ST0.DB1030.6.5,
read bool_NVH Operator Express Glass Vent Close tag,DB1030.DBX6.6,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Express Glass Vent Close tag@OE.ST0.DB1030.6.6,
read bool_NVH Operator Re-do tag,DB1030.DBX6.7,Boolean,1,R/W,100,,,,,,,,,,read bool_NVH Operator Re-do tag@OE.ST0.DB1030.6.7,
read bool_AT at vent ATS test pos tag,DB1030.DBX7.0,Boolean,1,R/W,100,,,,,,,,,,read bool_AT at vent ATS test pos tag@OE.ST0.DB1030.7.2,
read bool_AT at vent ATS Home pos tag,DB1030.DBX7.1,Boolean,1,R/W,100,,,,,,,,,,read bool_AT at vent ATS Home pos tag@OE.ST0.DB1030.7.3,
read bool_Start Adjust LVDT tag,DB1030.DBX7.2,Boolean,1,R/W,100,,,,,,,,,,read bool_Start Adjust LVDT tag@OE.ST0.DB1030.7.2,
read bool_Finish Adjust LVDT tag,DB1030.DBX7.3,Boolean,1,R/W,100,,,,,,,,,,read bool_Finish Adjust LVDT tag@OE.ST0.DB1030.7.3,
read str_Serial Number tag,DB1030.STRING8.32,String,1,R/W,100,,,,,,,,,,read str_Serial Number tag@OE.ST0.DB1030.8,
read str_Pallet Number tag,DB1030.STRING42.32,String,1,R/W,100,,,,,,,,,,read str_Pallet Number tag@OE.ST0.DB1030.42,
read str_Inalfa Part Number tag,DB1030.STRING76.32,String,1,R/W,100,,,,,,,,,,read str_Inalfa Part Number tag@OE.ST0.DB1030.76,
read str_Shade Color tag,DB1030.STRING110.32,String,1,R/W,100,,,,,,,,,,read str_Shade Color tag@OE.ST0.DB1030.110,
read str_Model Type tag,DB1030.STRING144.32,String,1,R/W,100,,,,,,,,,,read str_Model Type tag@OE.ST0.DB1030.144,
read str_Customer Number tag,DB1030.STRING178.32,String,1,R/W,100,,,,,,,,,,read str_Customer Number tag@OE.ST0.DB1030.178,
read str_Part History Number tag,DB1030.STRING212.32,String,1,R/W,100,,,,,,,,,,read str_Part History Number tag@OE.ST0.DB1030.212,
read str_Shade 1 Barcode tag,DB1030.STRING246.32,String,1,R/W,100,,,,,,,,,,read str_Shade 1 Barcode tag@OE.ST0.DB1030.246,
read str_Shade 2 Barcode tag,DB1030.STRING280.32,String,1,R/W,100,,,,,,,,,,read str_Shade 2 Barcode tag@OE.ST0.DB1030.280,
read str_Manual Serial Number tag,DB1030.STRING314.32,String,1,R/W,100,,,,,,,,,,read str_Manual Serial Number tag@OE.ST0.DB1030.314,
read str_Manual Inalfa Part Number tag,DB1030.STRING348.32,String,1,R/W,100,,,,,,,,,,read str_Manual Inalfa Part Number tag@OE.ST0.DB1030.348,
read str_Manual Shade Color tag,DB1030.STRING382.32,String,1,R/W,100,,,,,,,,,,read str_Manual Shade Color tag@OE.ST0.DB1030.382,
read str_Manual Model Type tag,DB1030.STRING416.32,String,1,R/W,100,,,,,,,,,,read str_Manual Model Type tag@OE.ST0.DB1030.416,
read str_Manual Customer Number tag,DB1030.STRING450.32,String,1,R/W,100,,,,,,,,,,read str_Manual Customer Number tag@OE.ST0.DB1030.450,
read str_Manual Part History Number tag,DB1030.STRING484.32,String,1,R/W,100,,,,,,,,,,read str_Manual Part History Number tag@OE.ST0.DB1030.484,
write bool_AT set glass wand lower tag,DB1030.DBX518.0,Boolean,1,R/W,100,,,,,,,,,,write bool_AT set glass wand lower tag@OE.ST0.DB1030.518.0,
write bool_AT set sunshade wand lower tag,DB1030.DBX518.1,Boolean,1,R/W,100,,,,,,,,,,write bool_AT set sunshade wand lower tag@OE.ST0.DB1030.518.1,
write bool_AT set sunshade wand up tag,DB1030.DBX518.2,Boolean,1,R/W,100,,,,,,,,,,write bool_AT set sunshade wand up tag@OE.ST0.DB1030.518.2,
write bool_AT set glass wand up tag,DB1030.DBX518.3,Boolean,1,R/W,100,,,,,,,,,,write bool_AT set glass wand up tag@OE.ST0.DB1030.518.3,
write bool_AT set wand home pos tag,DB1030.DBX518.4,Boolean,1,R/W,100,,,,,,,,,,write bool_AT set wand home pos tag@OE.ST0.DB1030.518.4,
write bool_Test Complete Pass tag,DB1030.DBX518.5,Boolean,1,R/W,100,,,,,,,,,,write bool_Test Complete Pass tag@OE.ST0.DB1030.518.5,
write bool_Test Complete Fail tag,DB1030.DBX518.6,Boolean,1,R/W,100,,,,,,,,,,write bool_Test Complete Fail tag@OE.ST0.DB1030.518.6,
write bool_Test Started tag,DB1030.DBX518.7,Boolean,1,R/W,100,,,,,,,,,,write bool_Test Started tag@OE.ST0.DB1030.518.7,
write bool_Retract LVDT's tag,DB1030.DBX519.0,Boolean,1,R/W,100,,,,,,,,,,write bool_Retract LVDT's tag@OE.ST0.DB1030.519.0,
write bool_Extend LVDT's tag,DB1030.DBX519.1,Boolean,1,R/W,100,,,,,,,,,,write bool_Extend LVDT's tag@OE.ST0.DB1030.519.1,
write bool_ss servo open tag,DB1030.DBX519.2,Boolean,1,R/W,100,,,,,,,,,,write bool_ss servo open tag@OE.ST0.DB1030.519.2,
write bool_ss servo close tag,DB1030.DBX519.3,Boolean,1,R/W,100,,,,,,,,,,write bool_ss servo close tag@OE.ST0.DB1030.519.3,
write bool_control slide start tag,DB1030.DBX519.4,Boolean,1,R/W,100,,,,,,,,,,write bool_control slide start tag@OE.ST0.DB1030.519.4,
write bool_control slide stop tag,DB1030.DBX519.5,Boolean,1,R/W,100,,,,,,,,,,write bool_control slide stop tag@OE.ST0.DB1030.519.5,
write bool_AT VentPMACHome tag,DB1030.DBX519.6,Boolean,1,R/W,100,,,,,,,,,,write bool_AT VentPMACHome tag@OE.ST0.DB1030.519.6,
write bool_AT VentPMACExtended tag,DB1030.DBX519.7,Boolean,1,R/W,100,,,,,,,,,,write bool_AT VentPMACExtended tag@OE.ST0.DB1030.519.7,
write bool_Good Frame Barcode tag,DB1030.DBX520.0,Boolean,1,R/W,100,,,,,,,,,,write bool_Good Frame Barcode tag@OE.ST0.DB1030.520.0,
write bool_Bad Frame Barcode tag,DB1030.DBX520.1,Boolean,1,R/W,100,,,,,,,,,,write bool_Bad Frame Barcode tag@OE.ST0.DB1030.520.1,
write bool_Extend Z LVDTS tag,DB1030.DBX520.2,Boolean,1,R/W,100,,,,,,,,,,write bool_Extend Z LVDTS tag@OE.ST0.DB1030.520.2,
write bool_NVH SunRoof Moving tag,DB1030.DBX520.3,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH SunRoof Moving tag@OE.ST0.DB1030.520.3,
write bool_NVH SunRoof Stop tag,DB1030.DBX520.4,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH SunRoof Stop tag@OE.ST0.DB1030.520.4,
write bool_NVH Pass tag,DB1030.DBX520.5,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Pass tag@OE.ST0.DB1030.520.5,
write bool_NVH Fail tag,DB1030.DBX520.6,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Fail tag@OE.ST0.DB1030.520.6,
write bool_NVH Operator Express Glass Opened tag,DB1030.DBX520.7,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Express Glass Opened tag@OE.ST0.DB1030.520.7,
write bool_NVH Operator Express Glass Closed tag,DB1030.DBX521.0,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Express Glass Closed tag@OE.ST0.DB1030.521.0,
write bool_NVH Operator Express Rollo Opened01 tag,DB1030.DBX521.1,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Express Rollo Opened01 tag@OE.ST0.DB1030.521.1,
write bool_NVH Operator Express Rollo Closed01 tag,DB1030.DBX521.2,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Express Rollo Closed01 tag@OE.ST0.DB1030.521.2,
write bool_NVH Operator Express Rollo Opened02 tag,DB1030.DBX521.3,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Express Rollo Opened02 tag@OE.ST0.DB1030.521.3,
write bool_NVH Operator Pass tag,DB1030.DBX521.4,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Pass tag@OE.ST0.DB1030.521.4,
write bool_NVH Operator Fail tag,DB1030.DBX521.5,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Fail tag@OE.ST0.DB1030.521.5,
write bool_NVH Operator Check tag,DB1030.DBX521.6,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Check tag@OE.ST0.DB1030.521.6,
write bool_NVH Operator Vent Open Noise tag,DB1030.DBX521.7,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Vent Open Noise tag@OE.ST0.DB1030.521.7,
write bool_NVH Operator Vent Close Noise tag,DB1030.DBX522.0,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Vent Close Noise tag@OE.ST0.DB1030.522.0,
write bool_NVH Operator Sunshade Open Noise tag,DB1030.DBX522.1,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Sunshade Open Noise tag@OE.ST0.DB1030.522.1,
write bool_NVH Operator Sunshade Close Noise tag,DB1030.DBX522.2,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Sunshade Close Noise tag@OE.ST0.DB1030.522.2,
write bool_NVH Operator Glass Open Noise tag,DB1030.DBX522.3,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Glass Open Noise tag@OE.ST0.DB1030.522.3,
write bool_NVH Operator Glass Close Noise tag,DB1030.DBX522.4,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Glass Close Noise tag@OE.ST0.DB1030.522.4,
write bool_NVH Operator Finish tag,DB1030.DBX522.5,Boolean,1,R/W,100,,,,,,,,,,write bool_NVH Operator Finish tag@OE.ST0.DB1030.522.5,
write bool_Barcode01 OK tag,DB1030.DBX522.6,Boolean,1,R/W,100,,,,,,,,,,write bool_Barcode01 OK tag@OE.ST0.DB1030.522.6,
write bool_Barcode02 OK tag,DB1030.DBX522.7,Boolean,1,R/W,100,,,,,,,,,,write bool_Barcode02 OK tag@OE.ST0.DB1030.522.7,
write bool_AT set to Vent ATS Test Pos tag,DB1030.DBX523.0,Boolean,1,R/W,100,,,,,,,,,,write bool_AT set to Vent ATS Test Pos tag@OE.ST0.DB1030.523.0,
write bool_AT set to Vent ATS Home Pos tag,DB1030.DBX523.1,Boolean,1,R/W,100,,,,,,,,,,write bool_AT set to Vent ATS Home Pos tag@OE.ST0.DB1030.523.1,
write bool_Move LVDT Adjust Station tag,DB1030.DBX523.2,Boolean,1,R/W,100,,,,,,,,,,write bool_Move LVDT Adjust Station tag@OE.ST0.DB1030.523.2,
write str_barcode station error tag,DB1030.STRING524.32,String,1,R/W,100,,,,,,,,,,write str_barcode station error tag@OE.ST0.DB1030.524,
write str_error message 0 tag,DB1030.STRING558.32,String,1,R/W,100,,,,,,,,,,write str_error message 0 tag@OE.ST0.DB1030.558,
write str_error message 1 tag,DB1030.STRING592.32,String,1,R/W,100,,,,,,,,,,write str_error message 1 tag@OE.ST0.DB1030.592,
write str_error message 2 tag,DB1030.STRING626.32,String,1,R/W,100,,,,,,,,,,write str_error message 2 tag@OE.ST0.DB1030.626,
write str_error message 3 tag,DB1030.STRING660.32,String,1,R/W,100,,,,,,,,,,write str_error message 3 tag@OE.ST0.DB1030.660,
