E - 0000	Sunroof connector is not plugged in	Check the Pallet connection to the switches
E - 0201	NVH Operator Glass Close Noise
E - 0202	NVH Operator Sunshade Open Noise
E - 0203	NVH Operator Sunshade Open Noise
E - 0204	AP Wand 02 Not Up	Check AP Wand or PLC
E - 0205	AP Wand 02 Not down	Check AP Wand or PLC
E - 0206	AP Force Exceeded the Limit - Rollo02	Check the Module
E - 0207	Vent AP Force Exceeded the Limit - Glass Vent	Check the Module
E - 0208	Not the Vent test position - Glass Vent	Check the PLC
E - 0209	Not the Vent home position - Glass Vent	Check the PLC
E - 0210  	The noise during the movement of sunroof is lower than the low limit
E - 0211  	The noise during the movement of sunroof is higher than the high limit
E - 0212  	direct control motor test faild
E - 0213	ByteCmd config open error
E - 0214	LIN message in bytecmd config file is invalid
